# x_m, y_m, w_tr_right_m, w_tr_left_m
0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00
-3.388605540203787903e-01,9.900587647040234862e-02,1.500000000000000000e+00,1.500000000000000000e+00
-6.777198370735213473e-01,1.980253805339656503e-01,1.500000000000000000e+00,1.500000000000000000e+00
-1.016577990378012553e+00,2.970583709720999721e-01,1.500000000000000000e+00,1.500000000000000000e+00
-1.355435225761715712e+00,3.961047065662300359e-01,1.500000000000000000e+00,1.500000000000000000e+00
-1.694291755052512727e+00,4.951643873163557585e-01,1.500000000000000000e+00,1.500000000000000000e+00
-2.033147719468979542e+00,5.942373426131798420e-01,1.500000000000000000e+00,1.500000000000000000e+00
-2.372003260229700761e+00,6.933233606288342621e-01,1.500000000000000000e+00,1.500000000000000000e+00
-2.710858589162549404e+00,7.924224413633144115e-01,1.500000000000000000e+00,1.500000000000000000e+00
-3.049713918095398046e+00,8.915343729887571511e-01,1.500000000000000000e+00,1.500000000000000000e+00
-3.388569388246821745e+00,9.906592261144403500e-01,1.500000000000000000e+00,1.500000000000000000e+00
-3.727425140835415984e+00,1.089796718303213563e+00,1.500000000000000000e+00,1.500000000000000000e+00
-4.066281458298340645e+00,1.188946920164354326e+00,1.500000000000000000e+00,1.500000000000000000e+00
-4.405138411244882590e+00,1.288109619870000166e+00,1.500000000000000000e+00,1.500000000000000000e+00
-4.743996282112203922e+00,1.387284746810858227e+00,1.500000000000000000e+00,1.500000000000000000e+00
-5.082855141509600827e+00,1.486472230377631210e+00,1.500000000000000000e+00,1.500000000000000000e+00
-5.421715271874234965e+00,1.585671929351743836e+00,1.500000000000000000e+00,1.500000000000000000e+00
-5.760576814424688941e+00,1.684883843733196107e+00,1.500000000000000000e+00,1.500000000000000000e+00
-6.099439910379540919e+00,1.784107761694110339e+00,1.500000000000000000e+00,1.500000000000000000e+00
-6.438304771566671469e+00,1.883343683234491417e+00,1.500000000000000000e+00,1.500000000000000000e+00
-6.777171539204656092e+00,1.982591396526461880e+00,1.500000000000000000e+00,1.500000000000000000e+00
-7.116040495730655557e+00,2.081850901570026391e+00,1.500000000000000000e+00,1.500000000000000000e+00
-7.454911711753977599e+00,2.181122057146595239e+00,1.500000000000000000e+00,1.500000000000000000e+00
-7.793785399102474365e+00,2.280404792646890222e+00,1.500000000000000000e+00,1.500000000000000000e+00
-8.132661698994741784e+00,2.379699037461604494e+00,1.500000000000000000e+00,1.500000000000000000e+00
-8.471540893867938848e+00,2.479004650372172325e+00,1.500000000000000000e+00,1.500000000000000000e+00
-8.810423054331353754e+00,2.578321490159999119e+00,1.500000000000000000e+00,1.500000000000000000e+00
-9.149308462822157040e+00,2.677649486215802010e+00,1.500000000000000000e+00,1.500000000000000000e+00
-9.488197189949627131e+00,2.776988638539575671e+00,1.500000000000000000e+00,1.500000000000000000e+00
-9.827089518150941672e+00,2.876338735303452854e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.016598558864467883e+01,2.975699776507428673e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.050488547204012413e+01,3.075071550323630110e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.084378952138374608e+01,3.174454056752057163e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.118269780728482310e+01,3.273847083964841698e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.152161054157122599e+01,3.373250702571272353e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.186052793607083800e+01,3.472664700743470778e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.219945013200222661e+01,3.572089007872154109e+00,1.500000000000000000e+00,1.500000000000000000e+00
-1.253837727058399309e+01,3.671523482738737965e+00,1.500000000000000000e+00,1.500000000000000000e+00
